name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Asemeia aguiariana,631538,Asemeia aguiariana,77233985-1,Polygalaceae,Asemeia,aguiariana,spec.,Syst. Bot. 46(1): 82. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,doi:10.1600/036364421X16128061711269 Named in honour of the plant anatomist and Polygalaceae specialist Dr. Ana Cristina Andrade de Aguiar Dias.,www.ipni.org/n/77233985-1,tax_nov,IPNI,https://doi.org/10.1600/036364421X16128061711269
Asemeia campestris,631533,Asemeia campestris,77233986-1,Polygalaceae,Asemeia,campestris,spec.,Syst. Bot. 46(1): 83. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,doi:10.1600/036364421X16128061711269 The species occurs in open areas of savanna and the name is in reference to this grassland habitat.,www.ipni.org/n/77233986-1,tax_nov,IPNI,https://doi.org/10.1600/036364421X16128061711269
Asemeia coracoralinae,631537,Asemeia coracoralinae,77313376-1,Polygalaceae,Asemeia,coracoralinae,spec.,Kew Bull. 78(2): 161. 2023 [23 May 2023] [epublished],Kew Bull.,2023,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,"doi:10.1007/s12225-023-10082-3 Etymology: the specific epithet honours the Brazilian poetess Cora Coralina, who was born in the city of Goiás (Velho), the type locality of this species.",www.ipni.org/n/77313376-1,tax_nov,IPNI,https://doi.org/10.1007/s12225-023-10082-3
Asemeia eglandulosa,631539,Asemeia eglandulosa,77233987-1,Polygalaceae,Asemeia,eglandulosa,spec.,Syst. Bot. 46(1): 85. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,"doi:10.1600/036364421X16128061711269 The epithet refers to the absence of glands on the margin of the external sepals, a common feature in other species of Asemeia.",www.ipni.org/n/77233987-1,tax_nov,IPNI,https://doi.org/10.1600/036364421X16128061711269
Asemeia minensis,631535,Asemeia minensis,77313379-1,Polygalaceae,Asemeia,minensis,spec.,Kew Bull. 78(2): 165. 2023 [23 May 2023] [epublished],Kew Bull.,2023,"Minas Gerais (Brazil Southeast, Brazil, Southern America)",NA,doi:10.1007/s12225-023-10082-3,www.ipni.org/n/77313379-1,tax_nov,IPNI,https://doi.org/10.1007/s12225-023-10082-3
Asemeia nana,631534,Asemeia nana,77313381-1,Polygalaceae,Asemeia,nana,spec.,Kew Bull. 78(2): 167. 2023 [23 May 2023] [epublished],Kew Bull.,2023,"Goiás (Brazil West-Central, Brazil, Southern America);Brasília Distrito Federal (Brazil West-Central, Brazil, Southern America);",NA,doi:10.1007/s12225-023-10082-3 Etymology: the specific epithet refers to the small size of the plants.,www.ipni.org/n/77313381-1,tax_nov,IPNI,https://doi.org/10.1007/s12225-023-10082-3
Asemeia subaphylla,631536,Asemeia subaphylla,77233988-1,Polygalaceae,Asemeia,subaphylla,spec.,Syst. Bot. 46(1): 85. 2021 [29 Mar 2021] [epublished],Syst. Bot.,2021,"Goiás (Brazil West-Central, Brazil, Southern America)",NA,"doi:10.1600/036364421X16128061711269 The epithet refers to the deciduous small leaves, so that the plant is leafless at flowering.",www.ipni.org/n/77233988-1,tax_nov,IPNI,https://doi.org/10.1600/036364421X16128061711269
Bredemeyera atlantica,605137,Bredemeyera atlantica,77179206-1,Polygalaceae,Bredemeyera,atlantica,spec.,Phytotaxa 351(2): 171. 2018 [1 Jun 2018] [epublished],Phytotaxa,2018,"Espírito Santo (Brazil Southeast, Brazil, Southern America);Rio de Janeiro (Brazil Southeast, Brazil, Southern America);",NA,doi:10.11646/phytotaxa.351.2.5,www.ipni.org/n/77179206-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.351.2.5
Bredemeyera autranii,79533,Bredemeyera autranii,36301-2,Polygalaceae,Bredemeyera,autranii,spec.,Bull. Herb. Boissier 2: 171. 1894 ,Bull. Herb. Boissier,1894,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=171&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/36301-2,tax_nov,IPNI,NA
Bredemeyera barbeyana,20532,Bredemeyera barbeyana,36303-2,Polygalaceae,Bredemeyera,barbeyana,spec.,Bull. Herb. Boissier 2: 173. 1894 ,Bull. Herb. Boissier,1894,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=173&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/36303-2,tax_nov,IPNI,NA
Bredemeyera confusa,605135,Bredemeyera confusa,36305-2,Polygalaceae,Bredemeyera,confusa,spec.,Bull. Herb. Boissier 2: 173. 1894 ,Bull. Herb. Boissier,1894,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=173&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/36305-2,tax_nov,IPNI,NA
Bredemeyera ericifolia,619565,Bredemeyera ericifolia,77328537-1,Polygalaceae,Bredemeyera,ericifolia,spec.,Syst. Bot. 48(2): 247. 2023 [23 Jun 2023] [epublished],Syst. Bot.,2023,"Piauí (Brazil Northeast, Brazil, Southern America)",NA,doi:10.1600/036364423X16847773873224 Etymology: name refers to the resemblance of the leaf shape of Bredemeyera ericifolia and some species of Erica (Ericaceae).,www.ipni.org/n/77328537-1,tax_nov,IPNI,https://doi.org/10.1600/036364423X16847773873224
Bredemeyera huberiana,605495,Bredemeyera huberiana,36311-2,Polygalaceae,Bredemeyera,huberiana,spec.,Bull. Herb. Boissier 2: 172. 1894 ,Bull. Herb. Boissier,1894,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1894&rft.spage=172&rft.volume=2&rft_id=http://www.biodiversitylibrary.org/bibliography/49730&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/36311-2,tax_nov,IPNI,NA
Bredemeyera petiolata,605136,Bredemeyera petiolata,77179207-1,Polygalaceae,Bredemeyera,petiolata,spec.,Phytotaxa 351(2): 175. 2018 [1 Jun 2018] [epublished],Phytotaxa,2018,"Bahia (Brazil Northeast, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.351.2.5,www.ipni.org/n/77179207-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.351.2.5
Bredemeyera revoluta,103222,Bredemeyera revoluta,301521-2,Polygalaceae,Bredemeyera,revoluta,spec.,Fl. Bras. (Martius) 13(3): 49. 1874 [1 Apr 1874] ,Fl. Bras. (Martius),1874,"e gr. ad. Ilheos Luschnath., Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/142316&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/301521-2,tax_nov,IPNI,NA
