name_FFB,id_FFB,name_IPNI,id_IPNI,family,genus,species,rank,reference,publication,publicationYear,distribution,bhlLink,remarks,url,citationType,source,doi
Cladocolea rostrifolia,102497,Cladocolea rostrifolia,77103915-1,Loranthaceae,Cladocolea,rostrifolia,spec.,Brittonia 61(2): 146 (-148; fig. 2). 2009 [1 Jun 2009] ,Brittonia,2009,"Amazonas (Brazil North, Brazil, Southern America)",NA,NA,www.ipni.org/n/77103915-1,tax_nov,IPNI,NA
Furarium disjectifolium,79190,Furarium disjectifolium,106420-2,Loranthaceae,Furarium,disjectifolium,spec.,Rodriguésia 18-19: 155. 1956 ,Rodriguésia,1956,"Amazonas (Brazil, Southern America)",NA,NA,www.ipni.org/n/106420-2,tax_nov,IPNI,NA
Ixocactus macrophyllus,8691,Ixocactus macrophyllus,305142-2,Loranthaceae,Ixocactus,macrophyllus,spec.,Brittonia 46: 72    fig. 1994 ,Brittonia,1994,"Bahia (Brazil, Southern America)",NA,"Holotype colls.: Thomas & A. Carvalho, A. Amorim, S. Sant'Ana, J. G. Jardim &¹J. Gebhards",www.ipni.org/n/305142-2,tax_nov,IPNI,NA
Ligaria coronata,605951,Ligaria coronata,139988-2,Loranthaceae,Ligaria,coronata,spec.,Bull. Soc. Bot. France 42: 348. 1895 ,Bull. Soc. Bot. France,1895,Brazil &amp; Argentina,http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/316847&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/139988-2,tax_nov,IPNI,NA
Loranthus bicalyculatus,124987,Loranthus bicalyculatus,143673-2,Loranthaceae,Loranthus,bicalyculatus,spec.,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(1): 128. 1829 ","Syst. Veg., ed. 15 bis [Roemer & Schultes]",1829,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=128&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/143673-2,tax_nov,IPNI,NA
Loranthus clandestinus,124730,Loranthus clandestinus,143678-2,Loranthaceae,Loranthus,clandestinus,spec.,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(1): 96. 1829 [early ? 1829] ","Syst. Veg., ed. 15 bis [Roemer & Schultes]",1829,"Pará (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=96&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,"According to the protologue, the species name and the description are together ascribed to Martius",www.ipni.org/n/143678-2,tax_nov,IPNI,NA
Loranthus longipedunculatus,606083,Loranthus longipedunculatus,143720-2,Loranthaceae,Loranthus,longipedunculatus,spec.,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(1): 141. 1829 ","Syst. Veg., ed. 15 bis [Roemer & Schultes]",1829,"Bahia (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=141&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/143720-2,tax_nov,IPNI,NA
Loranthus podopterus,124875,Loranthus podopterus,303375-2,Loranthaceae,Loranthus,podopterus,spec.,Linnaea 3: 218. 1828 ,Linnaea,1828,"Alagoas (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1828&rft.spage=218&rft.volume=3&rft_id=http://www.biodiversitylibrary.org/bibliography/626&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/303375-2,tax_nov,IPNI,NA
Loranthus pterygopus,124877,Loranthus pterygopus,305735-2,Loranthaceae,Loranthus,pterygopus,spec.,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(1): 155. 1829 ","Syst. Veg., ed. 15 bis [Roemer & Schultes]",1829,Brazil (Southern America),http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=155&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/305735-2,tax_nov,IPNI,NA
Loranthus robustus,124999,Loranthus robustus,303782-2,Loranthaceae,Loranthus,robustus,spec.,"Syst. Veg., ed. 15 bis [Roemer & Schultes] 7(1): 125. 1829 ","Syst. Veg., ed. 15 bis [Roemer & Schultes]",1829,"in campis S. Paulo urbem, Brazil (Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft.date=1829&rft.issue=1&rft.spage=125&rft.volume=7&rft_id=http://www.biodiversitylibrary.org/bibliography/825&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/303782-2,tax_nov,IPNI,NA
Oryctanthus phthirusoides,102518,Oryctanthus phthirusoides,176918-2,Loranthaceae,Oryctanthus,phthirusoides,spec.,Rodriguésia no. 41: 27. 1976 ,Rodriguésia,1976,Brazil (Southern America),NA,NA,www.ipni.org/n/176918-2,tax_nov,IPNI,NA
Oryctina eubrachioides,30255,Oryctina eubrachioides,320892-2,Loranthaceae,Oryctina,eubrachioides,spec.,Novon 10(4): 391 (-393; figs. 1-2). 2000 [14 Dec 2000] ,Novon,2000,"Januária, Vale do Peruaçu, inicio do Cerrado de Judas, 15°7'10S, 44°13'21W, Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641715&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 22 Mar 2001],www.ipni.org/n/320892-2,tax_nov,IPNI,NA
Oryctina piranii,79191,Oryctina piranii,302160-2,Loranthaceae,Oryctina,piranii,spec.,Revista Brasil. Biol. 51: 460--461. 1991 ,Revista Brasil. Biol.,1991,"Goiás (Brazil, Southern America)",NA,NA,www.ipni.org/n/302160-2,tax_nov,IPNI,NA
Oryctina quadrangularis,30256,Oryctina quadrangularis,320893-2,Loranthaceae,Oryctina,quadrangularis,spec.,Novon 10(4): 393 (-396; figs. 3). 2000 [14 Dec 2000] ,Novon,2000,"Januária, Vale do Peruaçu, carrascal próximo da entrada para Fazenda Terra Brava, 15°6'45S, 44°15'36W, Minas Gerais (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/641717&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,[Gandhi 22 Mar 2001],www.ipni.org/n/320893-2,tax_nov,IPNI,NA
Passovia bracteata,631405,Passovia bracteata,77216119-1,Loranthaceae,Passovia,bracteata,spec.,Phytotaxa 490(1): 116. 2021 [10 Mar 2021] [epublished],Phytotaxa,2021,"Amazonas (Brazil North, Brazil, Southern America)",NA,doi:10.11646/phytotaxa.490.1.11 The epithet refers to the long foliaceous bracts subtending the triads and/or flowers.,www.ipni.org/n/77216119-1,tax_nov,IPNI,https://doi.org/10.11646/phytotaxa.490.1.11
Passovia brasiliana,122003,Passovia brasiliana,77113306-1,Loranthaceae,Passovia,brasiliana,spec.,Pl. Diversity Evol. 129(2): 189 (fig. 14). 2011 [20 Jul 2011] ,Pl. Diversity Evol.,2011,"Amazonas (Brazil North, Brazil, Southern America)",NA,NA,www.ipni.org/n/77113306-1,tax_nov,IPNI,NA
Passovia ensifera,122098,Passovia ensifera,77113311-1,Loranthaceae,Passovia,ensifera,spec.,Pl. Diversity Evol. 129(2): 197 (-199; fig. 20). 2011 [20 Jul 2011] ,Pl. Diversity Evol.,2011,"Amazonas (Brazil North, Brazil, Southern America)",NA,NA,www.ipni.org/n/77113311-1,tax_nov,IPNI,NA
Phthirusa abdita,30258,Phthirusa abdita,194464-2,Loranthaceae,Phthirusa,abdita,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 450. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/194464-2,tax_nov,IPNI,NA
Phthirusa alternifolia,105785,Phthirusa alternifolia,194471-2,Loranthaceae,Phthirusa,alternifolia,spec.,Fl. Bras. (Martius) 5(2): 66 (54). 1868 [15 Jul 1868] ,Fl. Bras. (Martius),1868,"Rio de Janeiro (Brazil, Southern America)",http://www.biodiversitylibrary.org/openurl?ctx_ver=Z39.88-2004&rft_id=http://www.biodiversitylibrary.org/page/138882&rft_val_fmt=info:ofi/fmt:kev:mtx:book&url_ver=z39.88-2004,NA,www.ipni.org/n/194471-2,tax_nov,IPNI,NA
Phthirusa bauhiniae,105295,Phthirusa bauhiniae,194473-2,Loranthaceae,Phthirusa,bauhiniae,spec.,"Trans. Linn. Soc. London, Bot. ser. 2, 4: 451. 1895 ","Trans. Linn. Soc. London, Bot.",1895,Brazil (Southern America),NA,NA,www.ipni.org/n/194473-2,tax_nov,IPNI,NA
Phthirusa brasiliensis,283884,Phthirusa brasiliensis,60458354-2,Loranthaceae,Phthirusa,brasiliensis,spec.,Dept. Bull. U.S.D.A. 1380: 95. 1926 [May 1926] ,Dept. Bull. U.S.D.A.,1926,Brazil (Southern America),NA,NA,www.ipni.org/n/60458354-2,tax_nov,IPNI,NA
Phthirusa caatingae,8695,Phthirusa caatingae,317413-2,Loranthaceae,Phthirusa,caatingae,spec.,Revista Fac. Agron. (Maracay) 8(3): 90 (90-91). 1975 ,Revista Fac. Agron. (Maracay),1975,"Caatinga ad viam inter Jequie et Salvador, km 30, Bahia (Brazil, Southern America)",NA,[Gandhi 3 Mar 1999],www.ipni.org/n/317413-2,tax_nov,IPNI,NA
